"TRIM_ID","VARIANT_ID","TRIM_NAME","BASE_PRICE","DESCRIPTION"
1,1,Smart,20340000,"• 파워트레인/성능 : 스마트스트림 가솔린 1.6 엔진, 스마트스트림 IVT, 디스크 브레이크, 통합주행모드
• 안전 : 8에어백 시스템(1열 어드밴스드/사이드, 2열 사이드, 전복 대응 커튼), 유아용 시트 고정장치(2열 2개), 세이프티 언락, 타이어 응급처치 키트, 개별 타이어 공기압 경보장치, 실내 소화기
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조, 차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 전방 차량 출발 알림, 지능형 속도 제한 보조
• 외관 : 네오트로닉 블랙 라디에이터 그릴, Full LED 헤드램프(MFR 타입), LED 주간주행등(DRL, 포지셔닝 포함), 보조제동등, 15인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절, LED 방향지시등)
• 내장 : 클러스터(4.2인치 컬러 LCD), 선바이저 거울 & 슬라이딩, 룸램프, 인조가죽 적용 내장(도어 센터트림)
• 시트 : 인조가죽 시트, 운전석 수동 높이 조절, 2열 높이조절 헤드레스트(센터 제외)
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 웰컴 시스템, 스마트 트렁크, 도어 포켓 라이팅(앞), 파워 윈도우, 마이크로 에어 필터, 수동식 틸트 & 텔레스코픽 스티어링 휠, 스티어링 휠 리모컨, ECM 룸미러, USB-C 충전기(1열 1개, 2열 2개), 크루즈 컨트롤, 오토 라이트 컨트롤, 후석 승객 알림, 후방 모니터(조향 연동, 주행 중 후방 뷰), 전방 주차 거리 경고, 후방 주차 거리 경고
• 인포테인먼트 : 8인치 디스플레이 오디오(6스피커, 라디오, MP3, 블루투스 핸즈프리, 무선 폰 프로젝션 포함)"
2,1,Modern,23550000,"▶ 스마트 기본 품목 및
• 지능형 안전 기술 : 고속도로 주행보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함), 내비게이션 기반 스마트 크루즈 컨트롤(안전구간, 곡선로)
• 외관 : 16인치 알로이 휠 & 타이어
• 내장 : 가죽 스티어링 휠(열선 포함), 가죽 변속기 노브, 선바이저 램프, 깊이 가변형 컵홀더, 앰비언트 무드램프
• 시트 : 1열 열선/통풍시트
• 편의 : 전동식 파킹 브레이크(오토홀드 포함), 듀얼 풀오토 에어컨(오토 디포그/미세먼지 센서/공기청정모드/애프터 블로우 포함), 운전석 공조 연동 자동 제어, 2열 에어벤트, 세이프티 파워 윈도우(운전석), 하이패스
• 인포테인먼트 : 10.25인치 내비게이션(블루링크, 폰 프로젝션, 블루투스 핸즈프리, 인카페이먼트, 발레모드), 내비게이션 무선 업데이트"
3,1,Inspiration,27170000,"모던 기본 품목 및
• 지능형 안전 기술 : 후측방 충돌 경고(주행), 후측방 충돌방지 보조(전진 출차), 후방 교차 충돌방지 보조, 후방 주차 충돌방지 보조, 안전 하차 경고, 진동 경고 스티어링 휠
• 외관 : 17인치 알로이 휠 & 타이어, Full LED 헤드램프(프로젝션 타입), LED 방향지시등(앞), LED 리어 콤비램프, LED 보조제동등, 크롬 벨트라인 몰딩, 에어로 타입 와이퍼, 이중접합 차음 유리(윈드실드)
• 내장 : 파노라마 디스플레이(클러스터(10.25인치 컬러 LCD), 클러스터/내비게이션 일체형 글라스), LED 실내등(맵램프, 룸램프, 선바이저 램프), 소프트 페인트 내장재(동승석 크래시 패드 가니시, 도어 트림 상단)
• 시트 : 천연가죽 시트, 운전석 전동시트(8way, 럼버서포트, 자세 메모리 시스템), 동승석 전동시트(4way), 2열 열선시트, 2열 암레스트, 2열 6:4 폴딩, 2열 높이조절 헤드레스트(센터), 동승석 시트백 포켓
• 편의 : 스마트폰 무선충전, 현대 디지털 키 2 터치, 서라운드 뷰 모니터, 후측방 모니터
• 인포테인먼트 : BOSE 프리미엄 사운드(8스피커, 외장앰프 포함)"
4,1,N Line,28060000,"인스퍼레이션 기본 품목 및
• 성능 : 후륜 멀티링크 서스펜션
• 외관 : N Line 전용 디자인(프론트/리어범퍼, 라디에이터 그릴, 18인치 알로이 휠 & 타이어, 유광 블랙 DLO 몰딩(벨트라인 포함), 립타입 리어 스포일러, 사이드 스커트, 리어 디퓨저, 싱글 트윈 팁 머플러, 블랙 아웃사이드 미러 커버, N Line 엠블럼)
• 내장 : N Line 전용 내장 디자인(반펀칭 가죽 스티어링 휠(열선, 레드 스티치 포함), 가죽 변속기 노브(레드 스티치 포함), 블랙 헤드라이닝 & 선바이저 & 필라트림, 도어 센터트림 레드 스티치, 패들쉬프트, 메탈 페달 & 풋 레스트)
• 시트 : N Line 전용 천연가죽 시트(레드 스티치 & 파이핑, 착좌면 N 로고 스웨이드 패치 적용)"
5,2,Smart,21720000,"• 파워트레인/성능 : LPi 1.6 엔진, 6단 자동변속기, 디스크 브레이크, 통합주행모드
• 안전 : 8에어백 시스템(1열 어드밴스드/사이드, 2열 사이드, 전복 대응 커튼), 유아용 시트 고정장치(2열 2개), 세이프티 언락, 타이어 응급처치 키트, 개별 타이어 공기압 경보장치, 실내 소화기
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조, 차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 전방 차량 출발 알림, 지능형 속도 제한 보조
• 외관 : 네오트로닉 블랙 라디에이터 그릴, Full LED 헤드램프(MFR 타입), LED 주간주행등(DRL, 포지셔닝 포함), 보조제동등, 15인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절, LED 방향지시등)
• 내장 : 클러스터(4.2인치 컬러 LCD), 선바이저 거울 & 슬라이딩, 룸램프, 인조가죽 적용 내장(도어 센터트림)
• 시트 : 인조가죽 시트, 운전석 수동 높이 조절, 2열 높이조절 헤드레스트(센터 제외)
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 웰컴 시스템, 스마트 트렁크, 도어 포켓 라이팅(앞), 파워 윈도우, 마이크로 에어 필터, 수동식 틸트 & 텔레스코픽 스티어링 휠, 스티어링 휠 리모컨, ECM 룸미러, USB-C 충전기(1열 1개, 2열 2개), 크루즈 컨트롤, 오토 라이트 컨트롤, 후석 승객 알림, 후방 모니터(조향 연동, 주행 중 후방 뷰), 전방 주차 거리 경고, 후방 주차 거리 경고
• 인포테인먼트 : 8인치 디스플레이 오디오(6스피커, 라디오, MP3, 블루투스 핸즈프리, 무선 폰 프로젝션 포함)"
43,9,Premium,40480000,가솔린 3.5 프리미엄 (3.5 엔진 적용)
44,9,Exclusive,45370000,가솔린 3.5 익스클루시브 (3.5 엔진 적용)
45,9,Honors,47630000,가솔린 3.5 아너스 (3.5 엔진 적용)
46,9,Calligraphy,49600000,가솔린 3.5 캘리그래피 (3.5 엔진 적용)
47,9,Black Exterior,49600000,가솔린 3.5 블랙 익스테리어 (3.5 엔진 적용)
